loan_id,funded_amount,funded_date,duration years,duration months,10 yr treasury index date funded,interest rate,payments,total past payments,loan balance,property value,purpose,firstname,middlename,lastname,employment length,quarter,months remain,year
LL0001108,5412000,2016-05-25,30,360,1.87,0.03465,24196.69,43,4371542.51,5537800,commerical property,Mabel,Lillie,Cameron,18,2016Q2,317,2016
LL0000459,5346000,2012-11-03,15,180,1.75,0.03045,37034.31,85,2198084.02,5536750,investment property,Weston,Micah,Wetzel,2,2012Q4,95,2012
LL0000284,5445000,2018-09-13,30,360,2.97,0.04565,27799.71,15,5028004.39,5528750,investment property,Matteo,Kaden,Mueller,3,2018Q3,345,2018
LL0001642,5214000,2013-07-25,30,360,2.61,0.04205,25512.57,77,3249531.82,5511550,commerical property,Elliana,Raelyn,Santiago,6,2013Q3,283,2013
LL0001191,5478000,2019-09-11,30,360,1.75,0.03345,24127.15,3,5405618.54,5483600,commerical property,Skyla,Carter,Wall,10,2019Q3,357,2019
LL0001293,5346000,2013-12-20,30,360,2.89,0.04485,27039.77,72,3399136.53,5456150,home,Jack,Luke,Parham,15,2013Q4,288,2013
LL0001653,5412000,2017-09-16,15,180,2.2023,0.03497,38681.47,27,4367600.3,5453850,investment property,Bryce,Gage,Cloud,12,2017Q3,153,2017
LL0000078,5313000,2013-07-24,30,360,2.61,0.04205,25996.99,77,3311231.8,5430600,home,Clayton,Griffin,Cabrera,5,2013Q3,283,2013
LL0000648,5412000,2019-09-14,30,360,1.9,0.03495,24287.2,3,5339138.41,5417450,investment property,Antonio,Kaiden,Hodges,18,2019Q3,357,2019
LL0000823,5181000,2016-04-06,30,360,1.76,0.03355,22847.69,44,4175701.83,5369250,investment property,Cooper,Chase,Bennett,12,2016Q2,316,2016
LL0000988,5049000,2012-12-04,30,360,1.62,0.03215,21876.7,84,3211357.5,5358200,investment property,Kimber,Mia,Camacho,9,2012Q4,276,2012
LL0000634,5049000,2013-02-27,30,360,1.91,0.03505,22686.36,82,3188718.43,5353950,commerical property,Bryson,Cesar,Goodman,13,2013Q1,278,2013
LL0000614,5148000,2015-11-13,15,180,2.28,0.03575,36992.05,49,3335389.54,5343500,home,Juan,Roman,Call,5,2015Q4,131,2015
LL0001328,5181000,2014-01-11,30,360,2.88,0.04475,26174.46,71,3322613.25,5290050,home,Eduardo,Nehemiah,Eller,16,2014Q1,289,2014
LL0000659,5082000,2015-09-08,30,360,2.2,0.03795,23665.49,51,3875060.02,5280800,commerical property,Justin,Ryder,Thurston,7,2015Q3,309,2015
LL0000114,5148000,2013-01-24,30,360,1.88,0.03475,23045.04,83,3235261.78,5274650,investment property,Elijah,Brooks,Franklin,15,2013Q1,277,2013
LL0001707,5049000,2019-04-26,30,360,2.51,0.04105,24411.33,8,4853709.34,5241500,investment property,Joanna,Kelsey,Nunez,10,2019Q2,352,2019
LL0001272,5049000,2012-04-26,30,360,1.98,0.03575,22884.17,92,2943656.0,5189300,home,Emily,Gwendolyn,Garcia,5,2012Q2,268,2012
LL0001291,4851000,2017-09-11,30,360,2.1306,0.03726,22399.73,27,4246207.42,5073100,investment property,Kylie,Madison,Bailey,12,2017Q3,333,2017
LL0001178,4917000,2012-03-10,30,360,2.04,0.03635,22451.73,93,2828989.43,5059650,home,Jasmine,Elizabeth,Ramos,18,2012Q1,267,2012
LL0000641,4917000,2018-12-10,15,180,2.85,0.04145,36728.77,12,4476254.74,5056350,commerical property,Quinn,Desmond,Dawson,16,2018Q4,168,2018
LL0001441,4785000,2015-08-04,30,360,2.23,0.03825,22364.21,52,3622060.97,5045550,home,Grace,Madelynn,Thompson,11,2015Q3,308,2015
LL0001574,4785000,2016-09-07,30,360,1.5391,0.03134,20521.2,39,3984673.03,5025550,investment property,Michael,Ethan,Wilson,2,2016Q3,321,2016
LL0000361,4884000,2019-04-20,30,360,2.57,0.04165,23783.93,8,4693728.52,5016800,commerical property,Beckett,Jasper,Lawrence,7,2019Q2,352,2019
LL0000735,4752000,2015-07-27,30,360,2.23,0.03825,22209.98,53,3574871.26,5012950,home,Cecelia,Regina,Mckenzie,2,2015Q3,307,2015
LL0000383,4851000,2017-09-16,30,360,2.2023,0.03797,22595.31,27,4240926.7,5012850,commerical property,Kenneth,Mark,Bradley,4,2017Q3,333,2017
LL0000851,4818000,2017-02-02,30,360,2.4737,0.04069,23193.94,34,4029406.11,4991150,commerical property,Corbin,Finn,Solis,17,2017Q1,326,2017
LL0000528,4719000,2016-12-13,15,180,2.4713,0.03767,34357.44,36,3482132.15,4954700,home,Grayson,Sebastian,Borden,3,2016Q4,144,2016
LL0001300,4587000,2014-07-20,15,180,2.5,0.03795,33460.19,65,2412087.55,4866550,home,Tanner,Ronan,Sherrill,4,2014Q3,115,2014
LL0001013,4719000,2018-08-10,30,360,2.87,0.04465,23812.44,16,4338000.92,4864450,commerical property,Marissa,Lennon,Holloway,6,2018Q3,344,2018
LL0000588,4719000,2018-09-20,30,360,3.07,0.04665,24375.34,15,4353369.84,4862400,investment property,Diana,Christina,Beck,1,2018Q3,345,2018
LL0000334,4785000,2016-09-22,30,360,1.6183,0.03214,20730.2,39,3976522.31,4844800,investment property,Owen,Ezekiel,Lemon,13,2016Q3,321,2016
LL0001114,4560000,2014-10-11,15,180,2.31,0.03605,32834.28,62,2524274.73,4835400,home,Lillian,Harlow,Lewis,5,2014Q4,118,2014
LL0000437,4686000,2019-09-23,30,360,1.72,0.03315,20561.31,3,4624316.07,4811000,home,Santiago,Rhett,Garner,12,2019Q3,357,2019
LL0000460,4554000,2016-08-24,30,360,1.5611,0.03157,19587.6,40,3770496.12,4795250,investment property,Johnny,Angelo,Bradford,5,2016Q3,320,2016
LL0000897,4521000,2015-03-18,30,360,1.93,0.03525,20364.45,57,3360226.09,4788500,home,Alejandro,Grant,Stephens,7,2015Q1,303,2015
LL0000238,4488000,2013-09-11,30,360,2.93,0.04526,22809.42,75,2777293.3,4783150,investment property,Isabella,Ava,Byrd,14,2013Q3,285,2013
LL0000368,4488000,2014-08-06,30,360,2.49,0.04086,21649.51,64,3102431.37,4766700,commerical property,Hope,Allie,Morrison,11,2014Q3,296,2014
LL0000952,4560000,2016-08-16,30,360,1.5746,0.0317,19645.74,40,3774170.21,4741650,commerical property,Asher,Nolan,Santiago,2,2016Q3,320,2016
LL0000415,4512000,2016-02-17,15,180,1.81,0.03105,31387.4,46,3068179.5,4702700,investment property,Devin,Zander,Carson,11,2016Q1,134,2016
LL0001046,4455000,2013-04-27,30,360,1.7,0.03296,19501.09,80,2894912.61,4697000,home,Myra,Elianna,Christian,8,2013Q2,280,2013
LL0000514,4536000,2014-07-23,30,360,2.48,0.04075,21852.15,65,3115610.53,4695400,home,Carmen,Bethany,Cross,4,2014Q3,295,2014
LL0001592,4368000,2012-03-09,30,360,2.04,0.03636,19947.37,93,2512894.21,4690700,investment property,Jayleen,Karina,Chang,7,2012Q1,267,2012
LL0001095,4464000,2014-10-21,30,360,2.23,0.03826,20866.46,62,3170279.33,4678900,commerical property,Elias,Zachary,Carbajal,9,2014Q4,298,2014
LL0000449,4521000,2015-05-20,30,360,2.26,0.03855,21207.73,55,3354574.76,4665350,home,Jacob,Noah,Higgins,10,2015Q2,305,2015
LL0001060,4440000,2018-04-13,30,360,2.82,0.04416,22275.77,20,3994484.65,4651400,home,Jasper,Cayden,Willis,5,2018Q2,340,2018
LL0000861,4389000,2012-03-17,15,180,2.31,0.03606,31605.16,93,1449720.33,4651300,home,Marilyn,Thea,Malone,1,2012Q1,87,2012
LL0001598,4389000,2012-06-02,30,360,1.47,0.03066,18660.8,90,2709528.44,4647450,home,Jason,Brady,Coughlin,8,2012Q2,270,2012
LL0001562,4344000,2014-07-25,30,360,2.48,0.04076,20929.7,65,2983569.29,4623300,commerical property,Paul,Amir,Clarke,2,2014Q3,295,2014
LL0000545,4392000,2014-05-27,30,360,2.52,0.04116,21262.86,67,2967388.57,4614250,home,Asher,August,Kearns,8,2014Q2,293,2014
LL0000741,4464000,2012-11-26,30,360,1.66,0.03256,19442.31,85,2811403.38,4593600,investment property,Shiloh,Ariyah,Chase,11,2012Q4,275,2012
LL0001211,4521000,2016-06-12,30,360,1.64,0.03235,19638.48,42,3696183.94,4585900,investment property,Megan,Harlow,Dennis,4,2016Q2,318,2016
LL0001353,4440000,2016-09-04,30,360,1.6024,0.03198,19196.67,39,3691329.78,4560700,home,Miles,Kayden,Mahan,3,2016Q3,321,2016
LL0001051,4344000,2019-03-02,30,360,2.76,0.04356,21640.3,9,4149237.32,4539250,investment property,Katherine,Abigail,Price,16,2019Q1,351,2019
LL0000610,4536000,2019-12-05,30,360,1.8,0.03395,20103.74,0,4536000.0,4537350,commerical property,Scarlett,Macie,Lee,18,2019Q4,360,2019
LL0001287,4512000,2019-01-14,30,360,2.71,0.04305,22341.85,11,4266239.67,4529600,commerical property,Emerson,Archer,Kirby,1,2019Q1,349,2019
LL0001563,4257000,2015-01-18,30,360,1.83,0.03426,18940.42,59,3139515.18,4527450,commerical property,Luna,Madison,Gonzales,12,2015Q1,301,2015
LL0001175,4440000,2019-01-10,30,360,2.74,0.04336,22066.25,11,4197271.25,4517800,investment property,Nicolas,Kenneth,Duncan,18,2019Q1,349,2019
LL0001309,4422000,2018-03-27,30,360,2.78,0.04376,22081.0,21,3958298.95,4514250,home,Abigail,Amelia,Barnett,4,2018Q1,339,2018
LL0001571,4272000,2015-06-25,30,360,2.4,0.03996,20385.33,54,3171192.11,4474550,home,Eduardo,Clayton,Weber,11,2015Q2,306,2015
LL0001364,4257000,2018-01-28,30,360,2.66,0.04256,20956.84,23,3774992.75,4472150,home,Cadence,Bianca,Haynes,14,2018Q1,337,2018
LL0001496,4320000,2018-07-01,30,360,2.85,0.04446,21750.41,18,3928492.54,4467450,home,Bradley,Miguel,Ayala,2,2018Q3,342,2018
LL0001190,4248000,2018-03-16,30,360,2.85,0.04446,21387.91,21,3798853.95,4460800,home,Sebastian,Samuel,Castaneda,11,2018Q1,339,2018
LL0001129,4176000,2012-02-16,15,180,1.99,0.03286,29416.57,94,1410842.5,4439800,commerical property,Emmalyn,Jayda,Osborne,8,2012Q1,86,2012
LL0000769,4104000,2012-02-25,30,360,1.98,0.03576,18603.34,94,2355285.84,4427350,home,Sawyer,Peter,Alaniz,6,2012Q1,266,2012
LL0001673,4416000,2019-05-28,15,180,2.26,0.03556,31690.79,7,4194164.44,4426900,investment property,Charles,Nathan,Tellez,5,2019Q2,173,2019
LL0000620,4416000,2019-11-17,30,360,1.84,0.03436,19672.39,1,4396327.61,4418250,commerical property,Theodore,Ayden,Vega,12,2019Q4,359,2019
LL0001455,4257000,2014-11-01,30,360,2.35,0.03946,20191.27,62,3005141.56,4411350,commerical property,Griffin,Tanner,Pacheco,6,2014Q4,298,2014
LL0000187,4323000,2019-01-23,30,360,2.76,0.04356,21535.68,11,4086107.49,4400150,home,Beckham,Fabian,Espinoza,8,2019Q1,349,2019
LL0000107,4158000,2013-09-04,15,180,2.9,0.04196,31166.22,75,1820533.59,4393500,investment property,Aliza,Amelia,Smith,12,2013Q3,105,2013
LL0001601,4152000,2014-01-22,30,360,2.87,0.04466,20953.78,71,2664281.73,4380500,investment property,Cristian,Knox,Wilcox,8,2014Q1,289,2014
LL0001227,4344000,2018-02-17,30,360,2.87,0.04466,21922.74,22,3861699.73,4378150,commerical property,Grant,Milo,Rea,7,2018Q1,338,2018
LL0001018,4344000,2018-07-24,30,360,2.95,0.04546,22129.3,17,3967801.9,4370300,commerical property,Ethan,Carlos,Willoughby,17,2018Q3,343,2018
LL0001282,4056000,2013-05-05,30,360,1.78,0.03376,17933.67,79,2639240.27,4357600,investment property,Alejandra,Raven,Hampton,9,2013Q2,281,2013
LL0001589,4056000,2013-05-26,30,360,2.01,0.03606,18454.09,79,2598126.66,4356550,investment property,Macie,Jimena,Webster,9,2013Q2,281,2013
LL0000241,4272000,2018-10-15,30,360,3.16,0.04756,22300.23,14,3959796.83,4354150,commerical property,Ariya,Charlotte,Miller,15,2018Q4,346,2018
LL0000427,4290000,2019-10-22,30,360,1.78,0.03376,18968.3,2,4252063.4,4353550,home,Jesus,Ricardo,Mcgee,12,2019Q4,358,2019
LL0000734,4191000,2012-01-02,30,360,1.89,0.03486,18786.73,95,2406261.05,4337050,home,Hadley,Amelia,Coleman,16,2012Q1,265,2012
LL0000663,4224000,2014-01-04,30,360,3.01,0.04606,21669.25,71,2685483.46,4333400,commerical property,Kevin,Ian,James,12,2014Q1,289,2014
LL0001164,4224000,2017-10-05,30,360,2.348,0.03944,20029.89,26,3703222.86,4324900,investment property,Derrick,Zaiden,Beard,7,2017Q4,334,2017
LL0001197,4176000,2015-08-06,30,360,2.23,0.03826,19520.24,52,3160947.57,4316450,investment property,Jaiden,Conner,Mckenzie,14,2015Q3,308,2015
LL0000745,4125000,2014-06-08,30,360,2.6,0.04196,20162.33,66,2794286.27,4286650,investment property,Ricardo,Gunnar,Andrew,2,2014Q2,294,2014
